method,accuracy,precision,recall,f1,roc_auc
Baseline,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199
class_weight=balanced,0.7921348314606742,0.7183098591549296,0.75,0.7338129496402878,0.8612299465240643
SMOTE,0.797752808988764,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.866711229946524
